Method_ID,Reference_sample_ID
collerson2007scienceb_zr,collerson2007scienceb_zr-BCR-21
collerson2007scienceb_zr,collerson2007scienceb_zr-W-2
collerson2007scienceb_nb,collerson2007scienceb_nb-BHVO-1
collerson2007scienceb_nb,collerson2007scienceb_nb-BCR-21
collerson2007scienceb_nb,collerson2007scienceb_nb-W-2
collerson2007scienceb_sn,collerson2007scienceb_sn-BHVO-1
collerson2007scienceb_sn,collerson2007scienceb_sn-BCR-21
collerson2007scienceb_sn,collerson2007scienceb_sn-W-2
collerson2007scienceb_cs,collerson2007scienceb_cs-BHVO-1
collerson2007scienceb_cs,collerson2007scienceb_cs-BCR-21
collerson2007scienceb_cs,collerson2007scienceb_cs-W-2
collerson2007scienceb_ba,collerson2007scienceb_ba-BHVO-1
collerson2007scienceb_ba,collerson2007scienceb_ba-BCR-21
collerson2007scienceb_ba,collerson2007scienceb_ba-W-2
collerson2007scienceb_la,collerson2007scienceb_la-BHVO-1
collerson2007scienceb_la,collerson2007scienceb_la-BCR-21
collerson2007scienceb_la,collerson2007scienceb_la-W-2
collerson2007scienceb_ce,collerson2007scienceb_ce-BHVO-1
collerson2007scienceb_ce,collerson2007scienceb_ce-BCR-21
collerson2007scienceb_ce,collerson2007scienceb_ce-W-2
collerson2007scienceb_pr,collerson2007scienceb_pr-BHVO-1
collerson2007scienceb_pr,collerson2007scienceb_pr-BCR-21
collerson2007scienceb_pr,collerson2007scienceb_pr-W-2
collerson2007scienceb_nd,collerson2007scienceb_nd-BHVO-1
collerson2007scienceb_nd,collerson2007scienceb_nd-BCR-21
collerson2007scienceb_nd,collerson2007scienceb_nd-W-2
collerson2007scienceb_sm,collerson2007scienceb_sm-BHVO-1
collerson2007scienceb_sm,collerson2007scienceb_sm-BCR-21
collerson2007scienceb_sm,collerson2007scienceb_sm-W-2
collerson2007scienceb_eu,collerson2007scienceb_eu-BHVO-1
collerson2007scienceb_eu,collerson2007scienceb_eu-BCR-21
collerson2007scienceb_eu,collerson2007scienceb_eu-W-2
collerson2007scienceb_gd,collerson2007scienceb_gd-BHVO-1
collerson2007scienceb_gd,collerson2007scienceb_gd-BCR-21
collerson2007scienceb_gd,collerson2007scienceb_gd-W-2
collerson2007scienceb_tb,collerson2007scienceb_tb-BHVO-1
collerson2007scienceb_tb,collerson2007scienceb_tb-BCR-21
collerson2007scienceb_tb,collerson2007scienceb_tb-W-2
collerson2007scienceb_dy,collerson2007scienceb_dy-BHVO-1
collerson2007scienceb_dy,collerson2007scienceb_dy-BCR-21
collerson2007scienceb_dy,collerson2007scienceb_dy-W-2
collerson2007scienceb_ho,collerson2007scienceb_ho-BHVO-1
collerson2007scienceb_ho,collerson2007scienceb_ho-BCR-21
collerson2007scienceb_ho,collerson2007scienceb_ho-W-2
collerson2007scienceb_er,collerson2007scienceb_er-BHVO-1
collerson2007scienceb_er,collerson2007scienceb_er-BCR-21
collerson2007scienceb_er,collerson2007scienceb_er-W-2
collerson2007scienceb_tm,collerson2007scienceb_tm-BHVO-1
collerson2007scienceb_tm,collerson2007scienceb_tm-BCR-21
collerson2007scienceb_tm,collerson2007scienceb_tm-W-2
collerson2007scienceb_yb,collerson2007scienceb_yb-BHVO-1
collerson2007scienceb_yb,collerson2007scienceb_yb-BCR-21
collerson2007scienceb_yb,collerson2007scienceb_yb-W-2
collerson2007scienceb_lu,collerson2007scienceb_lu-BHVO-1
collerson2007scienceb_lu,collerson2007scienceb_lu-BCR-21
collerson2007scienceb_lu,collerson2007scienceb_lu-W-2
collerson2007scienceb_hf,collerson2007scienceb_hf-BHVO-1
collerson2007scienceb_hf,collerson2007scienceb_hf-BCR-21
collerson2007scienceb_hf,collerson2007scienceb_hf-W-2
collerson2007scienceb_ta,collerson2007scienceb_ta-BHVO-1
collerson2007scienceb_ta,collerson2007scienceb_ta-BCR-21
collerson2007scienceb_ta,collerson2007scienceb_ta-W-2
collerson2007scienceb_w,collerson2007scienceb_w-BHVO-1
collerson2007scienceb_w,collerson2007scienceb_w-BCR-21
collerson2007scienceb_w,collerson2007scienceb_w-W-2
collerson2007scienceb_tl,collerson2007scienceb_tl-BHVO-1
collerson2007scienceb_tl,collerson2007scienceb_tl-BCR-21
collerson2007scienceb_tl,collerson2007scienceb_tl-W-2
collerson2007scienceb_pb,collerson2007scienceb_pb-BHVO-1
collerson2007scienceb_pb,collerson2007scienceb_pb-BCR-21
collerson2007scienceb_pb,collerson2007scienceb_pb-W-2
collerson2007scienceb_th,collerson2007scienceb_th-BHVO-1
collerson2007scienceb_th,collerson2007scienceb_th-BCR-21
collerson2007scienceb_th,collerson2007scienceb_th-W-2
collerson2007scienceb_u,collerson2007scienceb_u-BHVO-1
collerson2007scienceb_u,collerson2007scienceb_u-BCR-21
collerson2007scienceb_u,collerson2007scienceb_u-W-2
collerson2007sciencec_nd143nd144,collerson2007sciencec_nd143nd144-Ames Nd
collerson2007sciencec_sr87sr86,collerson2007sciencec_sr87sr86-NBS SRM 987
collerson2007sciencec_pb206pb204,collerson2007sciencec_pb206pb204-NBS SRM 981
collerson2007sciencec_pb207pb204,collerson2007sciencec_pb207pb204-NBS SRM 981
collerson2007sciencec_pb208pb204,collerson2007sciencec_pb208pb204-NBS SRM 981
collerson2007sciencec_pb207pb206,collerson2007sciencec_pb207pb206-NBS SRM 981
collerson2007sciencec_pb208pb206,collerson2007sciencec_pb208pb206-NBS SRM 981
fankhauser2009fijic_sc,fankhauser2009fijic_sc-BHVO-1
fankhauser2009fijic_v,fankhauser2009fijic_v-BHVO-1
fankhauser2009fijic_cr,fankhauser2009fijic_cr-BHVO-1
fankhauser2009fijic_ni,fankhauser2009fijic_ni-BHVO-1
fankhauser2009fijic_cu,fankhauser2009fijic_cu-BHVO-1
fankhauser2009fijic_zn,fankhauser2009fijic_zn-BHVO-1
fankhauser2009fijic_ga,fankhauser2009fijic_ga-BHVO-1
fankhauser2009fijic_as,fankhauser2009fijic_as-BHVO-1
fankhauser2009fijic_rb,fankhauser2009fijic_rb-BHVO-1
fankhauser2009fijic_sr,fankhauser2009fijic_sr-BHVO-1
fankhauser2009fijic_y,fankhauser2009fijic_y-BHVO-1
fankhauser2009fijic_zr,fankhauser2009fijic_zr-BHVO-1
fankhauser2009fijic_nb,fankhauser2009fijic_nb-BHVO-1
fankhauser2009fijic_ba,fankhauser2009fijic_ba-BHVO-1
fankhauser2009fijic_la,fankhauser2009fijic_la-BHVO-1
fankhauser2009fijic_ce,fankhauser2009fijic_ce-BHVO-1
fankhauser2009fijic_nd,fankhauser2009fijic_nd-BHVO-1
fankhauser2009fijic_pb,fankhauser2009fijic_pb-BHVO-1
fankhauser2009fijic_th,fankhauser2009fijic_th-BHVO-1
hermann2017jasra_sio2,hermann2017jasra_sio2-JB-2
hermann2017jasra_sio2,hermann2017jasra_sio2-AC-E
hermann2017jasra_sio2,hermann2017jasra_sio2-WSE
hermann2017jasra_tio2,hermann2017jasra_tio2-JB-2
hermann2017jasra_tio2,hermann2017jasra_tio2-AC-E
hermann2017jasra_tio2,hermann2017jasra_tio2-WSE
hermann2017jasra_al2o3,hermann2017jasra_al2o3-JB-2
hermann2017jasra_al2o3,hermann2017jasra_al2o3-AC-E
hermann2017jasra_al2o3,hermann2017jasra_al2o3-WSE
hermann2017jasra_fe2o3,hermann2017jasra_fe2o3-JB-2
hermann2017jasra_fe2o3,hermann2017jasra_fe2o3-AC-E
hermann2017jasra_fe2o3,hermann2017jasra_fe2o3-WSE
hermann2017jasra_cao,hermann2017jasra_cao-JB-2
hermann2017jasra_cao,hermann2017jasra_cao-AC-E
hermann2017jasra_cao,hermann2017jasra_cao-WSE
hermann2017jasra_mgo,hermann2017jasra_mgo-JB-2
hermann2017jasra_mgo,hermann2017jasra_mgo-AC-E
hermann2017jasra_mgo,hermann2017jasra_mgo-WSE
hermann2017jasra_mno,hermann2017jasra_mno-JB-2
hermann2017jasra_mno,hermann2017jasra_mno-AC-E
hermann2017jasra_mno,hermann2017jasra_mno-WSE
hermann2017jasra_k2o,hermann2017jasra_k2o-JB-2
hermann2017jasra_k2o,hermann2017jasra_k2o-AC-E
hermann2017jasra_k2o,hermann2017jasra_k2o-WSE
hermann2017jasra_na2o,hermann2017jasra_na2o-JB-2
hermann2017jasra_na2o,hermann2017jasra_na2o-AC-E
hermann2017jasra_na2o,hermann2017jasra_na2o-WSE
hermann2017jasra_p2o5,hermann2017jasra_p2o5-JB-2
hermann2017jasra_p2o5,hermann2017jasra_p2o5-AC-E
hermann2017jasra_p2o5,hermann2017jasra_p2o5-WSE
hermann2017jasra_sc,hermann2017jasra_sc-JB-2
hermann2017jasra_sc,hermann2017jasra_sc-AC-E
hermann2017jasra_sc,hermann2017jasra_sc-WSE
hermann2017jasra_v,hermann2017jasra_v-JB-2
hermann2017jasra_v,hermann2017jasra_v-AC-E
hermann2017jasra_v,hermann2017jasra_v-WSE
hermann2017jasra_cr,hermann2017jasra_cr-JB-2
hermann2017jasra_cr,hermann2017jasra_cr-AC-E
hermann2017jasra_cr,hermann2017jasra_cr-WSE
hermann2017jasra_co,hermann2017jasra_co-JB-2
hermann2017jasra_co,hermann2017jasra_co-AC-E
hermann2017jasra_co,hermann2017jasra_co-WSE
hermann2017jasra_ni,hermann2017jasra_ni-JB-2
hermann2017jasra_ni,hermann2017jasra_ni-AC-E
hermann2017jasra_ni,hermann2017jasra_ni-WSE
hermann2017jasra_rb,hermann2017jasra_rb-JB-2
hermann2017jasra_rb,hermann2017jasra_rb-AC-E
hermann2017jasra_rb,hermann2017jasra_rb-WSE
hermann2017jasra_sr,hermann2017jasra_sr-JB-2
hermann2017jasra_sr,hermann2017jasra_sr-AC-E
hermann2017jasra_sr,hermann2017jasra_sr-WSE
hermann2017jasra_y,hermann2017jasra_y-JB-2
hermann2017jasra_y,hermann2017jasra_y-AC-E
hermann2017jasra_y,hermann2017jasra_y-WSE
hermann2017jasra_zr,hermann2017jasra_zr-JB-2
hermann2017jasra_zr,hermann2017jasra_zr-AC-E
hermann2017jasra_zr,hermann2017jasra_zr-WSE
hermann2017jasra_nb,hermann2017jasra_nb-JB-2
hermann2017jasra_nb,hermann2017jasra_nb-AC-E
hermann2017jasra_nb,hermann2017jasra_nb-WSE
hermann2017jasra_ba,hermann2017jasra_ba-JB-2
hermann2017jasra_ba,hermann2017jasra_ba-AC-E
hermann2017jasra_ba,hermann2017jasra_ba-WSE
hermann2017jasra_la,hermann2017jasra_la-JB-2
hermann2017jasra_la,hermann2017jasra_la-AC-E
hermann2017jasra_la,hermann2017jasra_la-WSE
hermann2017jasra_ce,hermann2017jasra_ce-JB-2
hermann2017jasra_ce,hermann2017jasra_ce-AC-E
hermann2017jasra_ce,hermann2017jasra_ce-WSE
hermann2017jasra_nd,hermann2017jasra_nd-JB-2
hermann2017jasra_nd,hermann2017jasra_nd-AC-E
hermann2017jasra_nd,hermann2017jasra_nd-WSE
hermann2017jasra_sm,hermann2017jasra_sm-JB-2
hermann2017jasra_sm,hermann2017jasra_sm-AC-E
hermann2017jasra_sm,hermann2017jasra_sm-WSE
hermann2017jasra_eu,hermann2017jasra_eu-JB-2
hermann2017jasra_eu,hermann2017jasra_eu-AC-E
hermann2017jasra_eu,hermann2017jasra_eu-WSE
hermann2017jasra_gd,hermann2017jasra_gd-JB-2
hermann2017jasra_gd,hermann2017jasra_gd-AC-E
hermann2017jasra_gd,hermann2017jasra_gd-WSE
hermann2017jasra_dy,hermann2017jasra_dy-JB-2
hermann2017jasra_dy,hermann2017jasra_dy-AC-E
hermann2017jasra_dy,hermann2017jasra_dy-WSE
hermann2017jasra_er,hermann2017jasra_er-JB-2
hermann2017jasra_er,hermann2017jasra_er-AC-E
hermann2017jasra_er,hermann2017jasra_er-WSE
hermann2017jasra_yb,hermann2017jasra_yb-JB-2
hermann2017jasra_yb,hermann2017jasra_yb-AC-E
hermann2017jasra_yb,hermann2017jasra_yb-WSE
