Source_ID,Sample_ID,scope
charleux2014,charleux2014_Eiao-134,artefact
charleux2014,charleux2014_Eiao-143,sample
charleux2014,charleux2014_Eiao-143,artefact
charleux2014,charleux2014_Eiao-149,sample
charleux2014,charleux2014_Eiao-149,artefact
charleux2014,charleux2014_Eiao-151,sample
charleux2014,charleux2014_Eiao-151,artefact
charleux2014,charleux2014_Eiao-154,sample
charleux2014,charleux2014_Eiao-154,artefact
charleux2014,charleux2014_Eiao-166,sample
charleux2014,charleux2014_Eiao-166,artefact
charleux2014,charleux2014_Eiao-174,sample
charleux2014,charleux2014_Eiao-174,artefact
charleux2014,charleux2014_Eiao-181,sample
charleux2014,charleux2014_Eiao-181,artefact
charleux2014,charleux2014_Eiao-184,sample
charleux2014,charleux2014_Eiao-184,artefact
charleux2014,charleux2014_Eiao-211,sample
charleux2014,charleux2014_Eiao-211,artefact
charleux2014,charleux2014_Eiao-216,sample
charleux2014,charleux2014_Eiao-216,artefact
charleux2014,charleux2014_Eiao-25,sample
charleux2014,charleux2014_Eiao-25,artefact
charleux2014,charleux2014_Eiao-33,sample
charleux2014,charleux2014_Eiao-33,artefact
charleux2014,charleux2014_Eiao-35,sample
charleux2014,charleux2014_Eiao-35,artefact
charleux2014,charleux2014_Eiao-37,sample
charleux2014,charleux2014_Eiao-37,artefact
charleux2014,charleux2014_Eiao-52,sample
charleux2014,charleux2014_Eiao-52,artefact
charleux2014,charleux2014_Eiao-54,sample
charleux2014,charleux2014_Eiao-54,artefact
charleux2014,charleux2014_Eiao-56,sample
charleux2014,charleux2014_Eiao-56,artefact
charleux2014,charleux2014_Eiao-59,sample
charleux2014,charleux2014_Eiao-59,artefact
charleux2014,charleux2014_Eiao-60,sample
charleux2014,charleux2014_Eiao-60,artefact
charleux2014,charleux2014_Eiao-63,sample
charleux2014,charleux2014_Eiao-63,artefact
charleux2014,charleux2014_Eiao-70,sample
charleux2014,charleux2014_Eiao-70,artefact
charleux2014,charleux2014_Eiao-71,sample
charleux2014,charleux2014_Eiao-71,artefact
charleux2014,charleux2014_Eiao-79,sample
charleux2014,charleux2014_Eiao-79,artefact
charleux2014,charleux2014_Eiao-81a,sample
charleux2014,charleux2014_Eiao-81a,artefact
charleux2014,charleux2014_Eiao-81b,sample
charleux2014,charleux2014_Eiao-81b,artefact
charleux2014,charleux2014_Eiao-85,sample
charleux2014,charleux2014_Eiao-85,artefact
charleux2014,charleux2014_Eiao-305,sample
charleux2014,charleux2014_Eiao-305,artefact
charleux2014,charleux2014_Eiao-308,sample
charleux2014,charleux2014_Eiao-308,artefact
charleux2014,charleux2014_Eiao-311,sample
charleux2014,charleux2014_Eiao-311,artefact
charleux2014,charleux2014_Eiao-320,sample
charleux2014,charleux2014_Eiao-320,artefact
charleux2014,charleux2014_Eiao-322,sample
charleux2014,charleux2014_Eiao-322,artefact
charleux2014,charleux2014_Eiao-324,sample
charleux2014,charleux2014_Eiao-324,artefact
charleux2014,charleux2014_Eiao-326,sample
charleux2014,charleux2014_Eiao-326,artefact
charleux2014,charleux2014_Eiao-336,sample
charleux2014,charleux2014_Eiao-336,artefact
charleux2014,charleux2014_Eiao-352,sample
charleux2014,charleux2014_Eiao-352,artefact
charleux2014,charleux2014_Eiao-352-B,sample
charleux2014,charleux2014_Eiao-352-B,artefact
charleux2014,charleux2014_Eiao-353a,sample
charleux2014,charleux2014_Eiao-353a,artefact
charleux2014,charleux2014_Eiao-353b,sample
charleux2014,charleux2014_Eiao-353b,artefact
charleux2014,charleux2014_Eiao-359,sample
charleux2014,charleux2014_Eiao-359,artefact
charleux2014,charleux2014_Eiao-363a,sample
charleux2014,charleux2014_Eiao-363a,artefact
charleux2014,charleux2014_Eiao-363b,sample
charleux2014,charleux2014_Eiao-363b,artefact
charleux2014,charleux2014_Eiao-372,sample
charleux2014,charleux2014_Eiao-372,artefact
charleux2014,charleux2014_Eiao-376,sample
charleux2014,charleux2014_Eiao-376,artefact
