ID,Entry_Type,address,author,booktitle,collaborator,copyright,doi,edition,editor,eprint,eprinttype,googlebooks,ids,institution,isbn,issn,journal,jstor,keywords,langid,month,note,number,pages,pmcid,publisher,school,series,shorttitle,title,type,urldate,volume,year
reepmeyer2012,article,,"Reepmeyer, Christian and Clark, Geoffrey and Sheppard, Peter",,,,10.1080/15564894.2011.611858,,,,,,,,,1556-4894,The Journal of Island and Coastal Archaeology,,"colonization,maritime connection of Polynesian chiefdoms,obsidian,provenance studies",,May,,2,255--271,,,,,Obsidian {{Source Use}} in {{Tongan Prehistory}},Obsidian {{Source Use}} in {{Tongan Prehistory}}: {{New Results}} and {{Implications}},,2019-10-24,7,2012
reepmeyer2021,article,,"Reepmeyer, Christian and Ferguson, Redbird and Valentin, Fr{\'e}d{\'e}rique and Clark, Geoffrey R.",,,,10.1002/arco.5223,,,,,,,,,1834-4453,Archaeology in Oceania,,"adzes,Archeologie du Pacifique,geochemistry,geochimie,herminette,lithics,lithiques,obsidian,obsidienne,Pacific archaeology,Tonga",english,,,,,,,,,,"The Stone Adze and Obsidian Assemblage from the {{Talasiu}} Site, {{Kingdom}} of {{Tonga}}",,2021-01-22,,2021
rieth2008,article,,"Rieth, Timothy M. and Morrison, Alex E. and Addison, David J.",,,,10.1080/15564890802128975,,,,,,,,,1556-4894,The Journal of Island and Coastal Archaeology,,"chronometric hygiene,GIS,island colonization,Lapita,Samoa",,October,,2,214--239,,,,,,The {{Temporal}} and {{Spatial Patterning}} of the {{Initial Settlement}} of {{S\=amoa}},,2018-02-15,3,2008
robinson2016,phdthesis,"Dunedin, New Zealand","Robinson, James Justin",,,,,,,,,,,,,,,,,english,,,,,,,University of Otago,,,"Tawhiti {{Rahi}}: {{Nga Poito}} o Te {{Kupenga}} o {{Toi}} Te {{Huatahi}}---{{A Float}} of the {{Fishing Net}} of {{Toi}} Te {{Huatahi}}. {{A Multi-Disciplinary Study}} of {{M\=aori Settlement}} of {{Tawhiti Rahi}}, an {{Offshore Island}} in {{Northern New Zealand}}",,,,2016
rogers1974,article,,"Rogers, Garth",,,,,,,20705007,jstor,,,,,0032-4000,Journal of the Polynesian Society,20705007,,,,,3,308--348,,Polynesian Society,,,,"Archaeological Discoveries on {{Niuatoputapu Island}}, {{Tonga}}",,2021-02-17,83,1974
rolett1995,article,,"Rolett, Barry V. and Conte, Eric",,,,,,,20706615,jstor,,,,,0032-4000,Journal of the Polynesian Society,20706615,,,,,2,195--228,,,,,,"Renewed Investigation of the {{Ha}}'atuatua Dune ( {{Nukuhiva}}, {{Marquesas Islands}}): {{A}} Key Site in {{Polynesian}} Prehistory",,2018-05-15,104,1995
rolett1997,incollection,,"Rolett, Barry V. and Conte, Eric and Pearthree, Erik and Sinton, John",Prehistoric {{Long-Distance Interaction}} in {{Oceania}}: {{An Interdisciplinary Approach}},,,,,"Weisler, Marshall I.",,,,,,,,,,"Commerce,Oceania,Prehistoric,Social Science / Anthropology / General",english,,,,134--148,,New Zealand Archaeological Association,,,,Marquesan Voyaging: {{Archaeometric}} Evidence for Inter-Island Contact,,,,1997
rolett1998,book,,"Rolett, Barry Vladimir",,,,,,,,,1wVWjwEACAAJ,rolett1998a,,978-0-09-135161-8,,,,,english,,,,,,"{Department of Anthropology and The Peabody Museum, Yale University}",,,Hanamiai,"Hanamiai: {{Prehistoric Colonization}} and {{Cultural Change}} in the {{Marquesas Islands}}, {{East Polynesia}}",,,,1998
rolett2015,article,,"Rolett, Barry V. and West, Eric W. and Sinton, John M. and Iovita, Radu",,,,10.1016/j.jas.2014.10.018,,,,,,,,,0305-4403,Journal of Archaeological Science,,"Adze quarries,East Polynesia,Exchange networks,X-ray fluorescence",,January,,,459--471,,,,,Ancient {{East Polynesian}} Voyaging Spheres,"Ancient {{East Polynesian}} Voyaging Spheres: {{New}} Evidence from the {{Vitaria Adze Quarry}} ({{Rurutu}}, {{Austral Islands}})",,2018-02-02,53,2015
rosendahl1969,techreport,Honolulu,"Rosendahl, Paul H.",,,,,,,,,,,"Department of Anthropology, University of Hawaii",,,,,,,,,,,,,,,,"An {{Archaeological Survey}} of {{Ouli Coastal Lands Between Hapuna Bay}} and {{Kaunaoa Bay}}, {{South Kohala}}, {{Hawaii}}",,,,1969
