Method ID,Parameter,Analyzed material 1,Analyzed material 2,Sample preparation,Chemical treatment,Number of replicates,Technique,Instrument,Laboratory,Analyst,Analysis date,Analysis comment,Reference sample name,Reference sample measured value,Reference uncertainty,Reference uncertainty unit,Number of measurements,Detection limit,Unit,Blank value,Unit,Parameter,Reference sample name,Value used for fractionation correction,Reference sample accepted value,Citation,Reference sample name,Reference sample accepted value,Citation
clark2014_A,Ti,Whole rock,Sample surface,,,,ED-XRF,Bruker Tracer III-V,Australian National University (Research School of Earth Sciences),"Reepmeyer, Christian",,,ANU9000,,,,,,,,,,,,,,,,
clark2014_A,Mn,Whole rock,Sample surface,,,,ED-XRF,Bruker Tracer III-V,Australian National University (Research School of Earth Sciences),"Reepmeyer, Christian",,,ANU9000,,,,,,,,,,,,,,,,
clark2014_A,Fe,Whole rock,Sample surface,,,,ED-XRF,Bruker Tracer III-V,Australian National University (Research School of Earth Sciences),"Reepmeyer, Christian",,,ANU9000,,,,,,,,,,,,,,,,
clark2014_A,Rb,Whole rock,Sample surface,,,,ED-XRF,Bruker Tracer III-V,Australian National University (Research School of Earth Sciences),"Reepmeyer, Christian",,,ANU9000,,,,,,,,,,,,,,,,
clark2014_A,Sr,Whole rock,Sample surface,,,,ED-XRF,Bruker Tracer III-V,Australian National University (Research School of Earth Sciences),"Reepmeyer, Christian",,,ANU9000,,,,,,,,,,,,,,,,
clark2014_A,Y,Whole rock,Sample surface,,,,ED-XRF,Bruker Tracer III-V,Australian National University (Research School of Earth Sciences),"Reepmeyer, Christian",,,ANU9000,,,,,,,,,,,,,,,,
clark2014_A,Zr,Whole rock,Sample surface,,,,ED-XRF,Bruker Tracer III-V,Australian National University (Research School of Earth Sciences),"Reepmeyer, Christian",,,ANU9000,,,,,,,,,,,,,,,,
clark2014_A,Nb,Whole rock,Sample surface,,,,ED-XRF,Bruker Tracer III-V,Australian National University (Research School of Earth Sciences),"Reepmeyer, Christian",,,ANU9000,,,,,,,,,,,,,,,,
clark2014_B,SiO2,Fused disk,Powder,"Lithium borate discs were prepared by fusion of 0.27 g of dried sample powder and 1.72 g of ""12-22"" eutectic lithium metaborate-lithium tetraborate.",,,XRF,Philips (PANalytical) PW2400 and JEOL JSM6400,AUSTRALIAN NATIONAL UNIVERSITY (Research School of Earth Sciences),"Reepmeyer, Christian",,,ANU9000,,,,,,,,,,,,,,,,
clark2014_B,TiO2,Fused disk,Powder,"Lithium borate discs were prepared by fusion of 0.27 g of dried sample powder and 1.72 g of ""12-22"" eutectic lithium metaborate-lithium tetraborate.",,,XRF,Philips (PANalytical) PW2400 and JEOL JSM6400,AUSTRALIAN NATIONAL UNIVERSITY (Research School of Earth Sciences),"Reepmeyer, Christian",,,ANU9000,,,,,,,,,,,,,,,,
clark2014_B,Al2O3,Fused disk,Powder,"Lithium borate discs were prepared by fusion of 0.27 g of dried sample powder and 1.72 g of ""12-22"" eutectic lithium metaborate-lithium tetraborate.",,,XRF,Philips (PANalytical) PW2400 and JEOL JSM6400,AUSTRALIAN NATIONAL UNIVERSITY (Research School of Earth Sciences),"Reepmeyer, Christian",,,ANU9000,,,,,,,,,,,,,,,,
clark2014_B,Fe2O3,Fused disk,Powder,"Lithium borate discs were prepared by fusion of 0.27 g of dried sample powder and 1.72 g of ""12-22"" eutectic lithium metaborate-lithium tetraborate.",,,XRF,Philips (PANalytical) PW2400 and JEOL JSM6400,AUSTRALIAN NATIONAL UNIVERSITY (Research School of Earth Sciences),"Reepmeyer, Christian",,,ANU9000,,,,,,,,,,,,,,,,
clark2014_B,MgO,Fused disk,Powder,"Lithium borate discs were prepared by fusion of 0.27 g of dried sample powder and 1.72 g of ""12-22"" eutectic lithium metaborate-lithium tetraborate.",,,XRF,Philips (PANalytical) PW2400 and JEOL JSM6400,AUSTRALIAN NATIONAL UNIVERSITY (Research School of Earth Sciences),"Reepmeyer, Christian",,,ANU9000,,,,,,,,,,,,,,,,
clark2014_B,MnO,Fused disk,Powder,"Lithium borate discs were prepared by fusion of 0.27 g of dried sample powder and 1.72 g of ""12-22"" eutectic lithium metaborate-lithium tetraborate.",,,XRF,Philips (PANalytical) PW2400 and JEOL JSM6400,AUSTRALIAN NATIONAL UNIVERSITY (Research School of Earth Sciences),"Reepmeyer, Christian",,,ANU9000,,,,,,,,,,,,,,,,
clark2014_B,CaO,Fused disk,Powder,"Lithium borate discs were prepared by fusion of 0.27 g of dried sample powder and 1.72 g of ""12-22"" eutectic lithium metaborate-lithium tetraborate.",,,XRF,Philips (PANalytical) PW2400 and JEOL JSM6400,AUSTRALIAN NATIONAL UNIVERSITY (Research School of Earth Sciences),"Reepmeyer, Christian",,,ANU9000,,,,,,,,,,,,,,,,
clark2014_B,Na2O,Fused disk,Powder,"Lithium borate discs were prepared by fusion of 0.27 g of dried sample powder and 1.72 g of ""12-22"" eutectic lithium metaborate-lithium tetraborate.",,,XRF,Philips (PANalytical) PW2400 and JEOL JSM6400,AUSTRALIAN NATIONAL UNIVERSITY (Research School of Earth Sciences),"Reepmeyer, Christian",,,ANU9000,,,,,,,,,,,,,,,,
clark2014_B,K2O,Fused disk,Powder,"Lithium borate discs were prepared by fusion of 0.27 g of dried sample powder and 1.72 g of ""12-22"" eutectic lithium metaborate-lithium tetraborate.",,,XRF,Philips (PANalytical) PW2400 and JEOL JSM6400,AUSTRALIAN NATIONAL UNIVERSITY (Research School of Earth Sciences),"Reepmeyer, Christian",,,ANU9000,,,,,,,,,,,,,,,,
clark2014_B,P2O5,Fused disk,Powder,"Lithium borate discs were prepared by fusion of 0.27 g of dried sample powder and 1.72 g of ""12-22"" eutectic lithium metaborate-lithium tetraborate.",,,XRF,Philips (PANalytical) PW2400 and JEOL JSM6400,AUSTRALIAN NATIONAL UNIVERSITY (Research School of Earth Sciences),"Reepmeyer, Christian",,,ANU9000,,,,,,,,,,,,,,,,
clark2014_C,SiO2,Fused disk,Powder,"Lithium borate discs were prepared by fusion of 0.27 g of dried sample powder and 1.72 g of ""12-22"" eutectic lithium metaborate-lithium tetraborate.",,,SEM-EDS,JEOL JSM6400,AUSTRALIAN NATIONAL UNIVERSITY (Research School of Earth Sciences),"Reepmeyer, Christian",,,ANU9000,,,,,,,,,,,,,,,,
clark2014_C,TiO2,Fused disk,Powder,"Lithium borate discs were prepared by fusion of 0.27 g of dried sample powder and 1.72 g of ""12-22"" eutectic lithium metaborate-lithium tetraborate.",,,SEM-EDS,JEOL JSM6400,AUSTRALIAN NATIONAL UNIVERSITY (Research School of Earth Sciences),"Reepmeyer, Christian",,,ANU9000,,,,,,,,,,,,,,,,
clark2014_C,Al2O3,Fused disk,Powder,"Lithium borate discs were prepared by fusion of 0.27 g of dried sample powder and 1.72 g of ""12-22"" eutectic lithium metaborate-lithium tetraborate.",,,SEM-EDS,JEOL JSM6400,AUSTRALIAN NATIONAL UNIVERSITY (Research School of Earth Sciences),"Reepmeyer, Christian",,,ANU9000,,,,,,,,,,,,,,,,
clark2014_C,Fe2O3,Fused disk,Powder,"Lithium borate discs were prepared by fusion of 0.27 g of dried sample powder and 1.72 g of ""12-22"" eutectic lithium metaborate-lithium tetraborate.",,,SEM-EDS,JEOL JSM6400,AUSTRALIAN NATIONAL UNIVERSITY (Research School of Earth Sciences),"Reepmeyer, Christian",,,ANU9000,,,,,,,,,,,,,,,,
clark2014_C,MgO,Fused disk,Powder,"Lithium borate discs were prepared by fusion of 0.27 g of dried sample powder and 1.72 g of ""12-22"" eutectic lithium metaborate-lithium tetraborate.",,,SEM-EDS,JEOL JSM6400,AUSTRALIAN NATIONAL UNIVERSITY (Research School of Earth Sciences),"Reepmeyer, Christian",,,ANU9000,,,,,,,,,,,,,,,,
clark2014_C,MnO,Fused disk,Powder,"Lithium borate discs were prepared by fusion of 0.27 g of dried sample powder and 1.72 g of ""12-22"" eutectic lithium metaborate-lithium tetraborate.",,,SEM-EDS,JEOL JSM6400,AUSTRALIAN NATIONAL UNIVERSITY (Research School of Earth Sciences),"Reepmeyer, Christian",,,ANU9000,,,,,,,,,,,,,,,,
clark2014_C,CaO,Fused disk,Powder,"Lithium borate discs were prepared by fusion of 0.27 g of dried sample powder and 1.72 g of ""12-22"" eutectic lithium metaborate-lithium tetraborate.",,,SEM-EDS,JEOL JSM6400,AUSTRALIAN NATIONAL UNIVERSITY (Research School of Earth Sciences),"Reepmeyer, Christian",,,ANU9000,,,,,,,,,,,,,,,,
clark2014_C,Na2O,Fused disk,Powder,"Lithium borate discs were prepared by fusion of 0.27 g of dried sample powder and 1.72 g of ""12-22"" eutectic lithium metaborate-lithium tetraborate.",,,SEM-EDS,JEOL JSM6400,AUSTRALIAN NATIONAL UNIVERSITY (Research School of Earth Sciences),"Reepmeyer, Christian",,,ANU9000,,,,,,,,,,,,,,,,
clark2014_C,K2O,Fused disk,Powder,"Lithium borate discs were prepared by fusion of 0.27 g of dried sample powder and 1.72 g of ""12-22"" eutectic lithium metaborate-lithium tetraborate.",,,SEM-EDS,JEOL JSM6400,AUSTRALIAN NATIONAL UNIVERSITY (Research School of Earth Sciences),"Reepmeyer, Christian",,,ANU9000,,,,,,,,,,,,,,,,
clark2014_C,P2O5,Fused disk,Powder,"Lithium borate discs were prepared by fusion of 0.27 g of dried sample powder and 1.72 g of ""12-22"" eutectic lithium metaborate-lithium tetraborate.",,,SEM-EDS,JEOL JSM6400,AUSTRALIAN NATIONAL UNIVERSITY (Research School of Earth Sciences),"Reepmeyer, Christian",,,ANU9000,,,,,,,,,,,,,,,,
clark2014_D,Be,Whole rock,Probe sample,Samples were diamond cut and diamond polished,Ablation was done with a Lambda Physik 193 nm wavelength ArF laser connected to an Agilent 7500S ICP-MS through an effective small-volume sample cell and signal smoother to remove the effects of ablating with a pulsed laser. The sample was ablated in a He atmosphere with power delivered to the sample surface of about 20 mJ. The ablated aerosol was carried to the ICP by a 30:70 mix of He and Ar.,,LA-ICP-MS,Agilent 7500S,"Research School of Biological Sciences, ANU","Reepmeyer, Christian",,,ANU9000,,,,,,,,,,,,,,,,
clark2014_D,Ca,Whole rock,Probe sample,Samples were diamond cut and diamond polished,Ablation was done with a Lambda Physik 193 nm wavelength ArF laser connected to an Agilent 7500S ICP-MS through an effective small-volume sample cell and signal smoother to remove the effects of ablating with a pulsed laser. The sample was ablated in a He atmosphere with power delivered to the sample surface of about 20 mJ. The ablated aerosol was carried to the ICP by a 30:70 mix of He and Ar.,,LA-ICP-MS,Agilent 7500S,"Research School of Biological Sciences, ANU","Reepmeyer, Christian",,,ANU9000,,,,,,,,,,,,,,,,
clark2014_D,Sc,Whole rock,Probe sample,Samples were diamond cut and diamond polished,Ablation was done with a Lambda Physik 193 nm wavelength ArF laser connected to an Agilent 7500S ICP-MS through an effective small-volume sample cell and signal smoother to remove the effects of ablating with a pulsed laser. The sample was ablated in a He atmosphere with power delivered to the sample surface of about 20 mJ. The ablated aerosol was carried to the ICP by a 30:70 mix of He and Ar.,,LA-ICP-MS,Agilent 7500S,"Research School of Biological Sciences, ANU","Reepmeyer, Christian",,,ANU9000,6.5161419121,0.7429735647,ppm,16,,,,,,,,,,,,
clark2014_D,Ti,Whole rock,Probe sample,Samples were diamond cut and diamond polished,Ablation was done with a Lambda Physik 193 nm wavelength ArF laser connected to an Agilent 7500S ICP-MS through an effective small-volume sample cell and signal smoother to remove the effects of ablating with a pulsed laser. The sample was ablated in a He atmosphere with power delivered to the sample surface of about 20 mJ. The ablated aerosol was carried to the ICP by a 30:70 mix of He and Ar.,,LA-ICP-MS,Agilent 7500S,"Research School of Biological Sciences, ANU","Reepmeyer, Christian",,,ANU9000,1626.3033220975,45.7486055188,ppm,16,,,,,,,,,,,,
clark2014_D,V,Whole rock,Probe sample,Samples were diamond cut and diamond polished,Ablation was done with a Lambda Physik 193 nm wavelength ArF laser connected to an Agilent 7500S ICP-MS through an effective small-volume sample cell and signal smoother to remove the effects of ablating with a pulsed laser. The sample was ablated in a He atmosphere with power delivered to the sample surface of about 20 mJ. The ablated aerosol was carried to the ICP by a 30:70 mix of He and Ar.,,LA-ICP-MS,Agilent 7500S,"Research School of Biological Sciences, ANU","Reepmeyer, Christian",,,ANU9000,5.6567110705,0.0839617809,ppm,16,,,,,,,,,,,,
