Source ID 1,Sample ID,Method ID,Note,SiO2 %,TiO2 %,Al2O3 %,Fe2O3 %,FeO %,FeOT %,CaO %,MgO %,MnO %,K2O %,Na2O %,P2O5 %,Li ppm,Be ppm,B ppm,C ppm,CO2 ppm,F ppm,Na ppm,Mg ppm,Al ppm,P ppm,S ppm,Cl ppm,K ppm,Ca ppm,Sc ppm,Ti ppm,V ppm,Cr ppm,Mn ppm,Fe ppm,Co ppm,Ni ppm,Cu ppm,Zn ppm,Ga ppm,Ge ppm,As ppm,Se ppm,Br ppm,Rb ppm,Sr ppm,Y ppm,Zr ppm,Nb ppm,Mo ppm,Ru ppm,Rh ppm,Pd ppm,Ag ppm,Cd ppm,In ppm,Sn ppm,Sb ppm,Te ppm,I ppm,Cs ppm,Ba ppm,La ppm,Ce ppm,Pr ppm,Nd ppm,Sm ppm,Eu ppm,Gd ppm,Tb ppm,Dy ppm,Ho ppm,Er ppm,Tm ppm,Yb ppm,Lu ppm,Hf ppm,Ta ppm,W ppm,Re ppm,Os ppm,Ir ppm,Pt ppm,Au ppm,Hg ppm,Tl ppm,Pb ppm,Bi ppm,Th ppm,U ppm,Nd143_Nd144,Nd143_Nd144 SD value,Nd143_Nd144 SD sigma,Sr87_Sr86,Sr87_Sr86 SD value,Sr87_Sr86 SD sigma,Pb206_Pb204,Pb206_Pb204 SD value,Pb206_Pb204 SD sigma,Pb207_Pb204,Pb207_Pb204 SD value,Pb207_Pb204 SD sigma,Pb208_Pb204,Pb208_Pb204 SD value,Pb208_Pb204 SD sigma,Pb207_Pb206,Pb207_Pb206 SD value,Pb207_Pb206 SD sigma,Pb208_Pb206,Pb208_Pb206 SD value,Pb208_Pb206 SD sigma,Age Ma,Age SD sigma 
charleux2014,charleux2014_Eiao-170,charleux2014_A,,,4.2,,14,,,7.6,,0.17,0.8,,,,,,,,,,,,,,,,,,,,<LOD,,,,<LOD,24,130,,,,,,23,593.1,,294,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charleux2014,charleux2014_Eiao-172,charleux2014_A,,,4.9,,12.6,,,9.6,,0.12,1.1,,,,,,,,,,,,,,,,,,,,91,,,,114,27,89,,,,,,22,625.6,,329,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charleux2014,charleux2014_Eiao-176,charleux2014_A,,,4.1,,14.6,,,9,,0.16,0.9,,,,,,,,,,,,,,,,,,,,144,,,,86,24,127,,,,,,21,585,,292,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charleux2014,charleux2014_Eiao-177,charleux2014_A,,,4.8,,14.9,,,9.8,,0.15,1.1,,,,,,,,,,,,,,,,,,,,176,,,,78,8,106,,,,,,22,595.1,,311,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charleux2014,charleux2014_Eiao-178,charleux2014_A,,,4.8,,14.6,,,8.5,,0.15,1.2,,,,,,,,,,,,,,,,,,,,<LOD,,,,69,<LOD,97,,,,,,18,581.9,,309,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charleux2014,charleux2014_Eiao-183,charleux2014_A,,,5.1,,14.9,,,9.9,,0.16,1.2,,,,,,,,,,,,,,,,,,,,126,,,,73,6,125,,,,,,29,575.8,,300,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charleux2014,charleux2014_Eiao-185,charleux2014_A,,,4.9,,14.5,,,9.7,,0.16,1,,,,,,,,,,,,,,,,,,,,50,,,,54,9,121,,,,,,19,574.8,,286,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charleux2014,charleux2014_Eiao-187,charleux2014_A,,,5,,14.9,,,9.3,,0.15,0.8,,,,,,,,,,,,,,,,,,,,107,,,,69,32,118,,,,,,21,580.9,,309,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charleux2014,charleux2014_Eiao-19,charleux2014_A,,,4.6,,12.5,,,8.5,,0.12,1,,,,,,,,,,,,,,,,,,,,92,,,,75,24,100,,,,,,20,616.5,,309,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charleux2014,charleux2014_Eiao-190,charleux2014_A,,,5,,15.1,,,8.6,,0.17,1.1,,,,,,,,,,,,,,,,,,,,16,,,,105,<LOD,125,,,,,,17,599.2,,308,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charleux2014,charleux2014_Eiao-193,charleux2014_A,,,4.2,,14.4,,,10.2,,0.16,1.1,,,,,,,,,,,,,,,,,,,,50,,,,182,25,161,,,,,,20,588,,297,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
