Primary analytical & method-specific metadata,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
METHOD IDENTIFICATION,,ANALYTICAL PROCEDURE,,,,,,ANALYTICAL ACCURACY & REPRODUCIBILITY ,,,,,DETECTION LIMIT,,TOTAL PROCEDURAL BLANK,,FRACTIONATION CORRECTION (ONLY FOR ISOTOPIC ANALYSES),,,,,NORMALIZATION,,
"Method code
[citation code][ _ ][A], [B] ; etc.",PARAMETER,Technique,Instrument,Laboratory,Analyst,Analysis date,Analysis comment,Reference sample name,Reference sample measured value,Reference uncertainty,Reference uncertainty unit,Number of measurements,Detection limit,Unit,Blank value,Unit,Parameter,Reference sample name,Value used for fractionation correction,Reference sample accepted value,Citation,Reference sample name,Reference sample accepted value,Citation
must match codes in TAB 2 COL AM,must match parameters in TAB 3 COL AN-ES,see drop-down list,,,,,,,,standard deviation,,leave blank if 1,,e.g. ppm,,e.g. ppm,e.g. Nd146_Nd144,e.g. La Jolla,e.g. 0.7219,i.e. from literature,if known,if applicable,,e.g. USGS
Clark-2014-PNAS_C,Ce,ICP:MS,Philips (PANalytical) PW2400,Australian National University,"Woodhead, Jon",,,,,,,,,,,,,,,,,,,
Clark-2014-PNAS_C,Pr,ICP:MS,Philips (PANalytical) PW2400,Australian National University,"Woodhead, Jon",,,,,,,,,,,,,,,,,,,
Clark-2014-PNAS_C,Nd,ICP:MS,Philips (PANalytical) PW2400,Australian National University,"Woodhead, Jon",,,,,,,,,,,,,,,,,,,
Clark-2014-PNAS_C,Sm,ICP:MS,Philips (PANalytical) PW2400,Australian National University,"Woodhead, Jon",,,,,,,,,,,,,,,,,,,
Clark-2014-PNAS_C,Eu,ICP:MS,Philips (PANalytical) PW2400,Australian National University,"Woodhead, Jon",,,,,,,,,,,,,,,,,,,
Clark-2014-PNAS_C,Gd,ICP:MS,Philips (PANalytical) PW2400,Australian National University,"Woodhead, Jon",,,,,,,,,,,,,,,,,,,
Clark-2014-PNAS_C,Tb,ICP:MS,Philips (PANalytical) PW2400,Australian National University,"Woodhead, Jon",,,,,,,,,,,,,,,,,,,
Clark-2014-PNAS_C,Dy,ICP:MS,Philips (PANalytical) PW2400,Australian National University,"Woodhead, Jon",,,,,,,,,,,,,,,,,,,
Clark-2014-PNAS_C,Ho,ICP:MS,Philips (PANalytical) PW2400,Australian National University,"Woodhead, Jon",,,,,,,,,,,,,,,,,,,
Clark-2014-PNAS_C,Er,ICP:MS,Philips (PANalytical) PW2400,Australian National University,"Woodhead, Jon",,,,,,,,,,,,,,,,,,,
Clark-2014-PNAS_C,Tm,ICP:MS,Philips (PANalytical) PW2400,Australian National University,"Woodhead, Jon",,,,,,,,,,,,,,,,,,,
Clark-2014-PNAS_C,Yb,ICP:MS,Philips (PANalytical) PW2400,Australian National University,"Woodhead, Jon",,,,,,,,,,,,,,,,,,,
Clark-2014-PNAS_C,Lu,ICP:MS,Philips (PANalytical) PW2400,Australian National University,"Woodhead, Jon",,,,,,,,,,,,,,,,,,,
