Vocabularies,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,Ba,barium,,,,,,,,,ICP:MS-LA-MC,INDUCTIVELY COUPLED PLASMA MASS SPECTROMETRY LASER ABLATION MULTICOLLECTOR,,,,
,,,,,Ba_Ca,ratio of barium to calcium,,,,,,,,,ICP:MS-MC,INDUCTIVELY COUPLED PLASMA MASS SPECTROMETRY MULTI-COLLECTOR,,,,
,,,,,BaO,barium oxide,,,,,,,,,ICP-OES,OPTICAL EMISSION SPECTROSPCOPY,,,,
,,,,,BaSO4,barite,,,,,,,,,ICS,IRIDIUM COINCIDENCE SPECTROMETRY,,,,
,,,,,Be,beryllium,,,,,,,,,IGN,IGNITION,,,,
,,,,,Be10,beryllium isotope be10,,,,,,,,,IMP,ION MICROPROBE,,,,
,,,,,Be10_Be9,ratio of beryllium isotopes be10 to be9,,,,,,,,,INAA,INSTRUMENTAL NEUTRON ACTIVATION ANALYSIS,,,,
,,,,,Be10_Be9(T),"ratio of isotopes be10 to be 9, time corrected",,,,,,,,,INC,ION CHROMATOGRAPHY,,,,
,,,,,Be9,beryllium isotope be9,,,,,,,,,IR-SP,INFRA-RED SPECTROSCOPY,,,,
,,,,,Bi,bismuth,,,,,,,,,ISE,ION SENSITIVE ELECTRODE,,,,
,,,,,BIO,biotite,,,,,,,,,IVA,INVERSION VOLT-AMPERMETRY,,,,
,,,,,Br,bromium,,,,,,,,,K-AR,K-AR AGE DETERMINATION,,,,
,,,,,BROMIDE , bromide,,,,,,,,,LAICP,INDUCTIVELY COUPLED PLASMA LASER ABLATION (FURTHER DETAIL NOT PROVIDED),,,,
,,,,,BST,bastite,,,,,,,,,LA-ICPMS,LASER ABLATION INDUCTIVELY COUPLED PLASMA MASS SPECTROMETRY,,,,
,,,,,BZT,bronzite,,,,,,,,,LF,LASER FLUORINATION,,,,
,,,,,C,carbon,,,,,,,,,LU-HF,LUTETIUM-HAFNIUM AGE DETERMINATION,,,,
,,,,,C(INORG),inorganic carbon,,,,,,,,,MANO,MANOMETRY,,,,
,,,,,C(ORG),organic carbon,,,,,,,,,MBS,MOLYBDATE-BLUE SPECTROMETRY,,,,
,,,,,C(TOT),total carbon,,,,,,,,,MC-ICP-MS,LASER ABLATION MULTICOLLECTOR INDUCTIVELY COUPLED PLASMA MASS SPECTROMETRY,,,,
,,,,,C_(non-carb),non-carbonate carbon,,,,,,,,,MOSS,"MOSSBAUER SPECTRA
",,,,
,,,,,C_N,ratio of organic carbon to total nitrogen,,,,,,,,,MS,MASS SPECTROMETRY,,,,
,,,,,C14_AGE,c14_age,,,,,,,,,MS:ID,ISOTOPE DILUTION MASS SPECTROMETRY,,,,
,,,,,Ca,calcium,,,,,,,,,MS:SIMS,SECONDARY IONIZATION MASS SPECTROMETRY,,,,
,,,,,Ca_K,ratio of calcium to potassium,,,,,,,,,MS:SS-ID,SPARK SOURCE MASS SPECTROMETRY - ISOTOPE DILUTION,,,,
,,,,,CaCO3,calcium carbonate,,,,,,,,,MS:SSMS,SPARK SOURCE MASS SPECTROMETRY,,,,
,,,,,CALC,calcite,,,,,,,,,MS:TIMS,THERMAL IONIZATION MASS SPECTROMETRY,,,,
,,,,,CALCITE,calcite,,,,,,,,,MS:TIMS-ID,TIMS ISOTOPE  DILUTION,,,,
,,,,,CALIBRATED C14_AGE,calibrated c14_age,,,,,,,,,MS:TIMS-ID-NEG,NEGATIVE THERMAL IONIZATION MASS SPECTROMETRY ISOTOPE DILUTION,,,,
,,,,,CaO,calcium oxide,,,,,,,,,MS:TIMS-NEG,NEGATIVE THERMAL IONIZATION MASS SPECTROMETRY,,,,
,,,,,Ca-OL,calcium-olivine,,,,,,,,,MS-ID,MASS SPECTROMETRY ISOTOPE DILUTION,,,,
,,,,,CAP_DELTA_S33,"deviation of delta_s33 from the terrestrial fractionation array, calculated as delta_s33 minus 1000 times (delta_s34 divided by 1000 then plus one) taken to the 0.515th power) minus 1 or cap_delta_33s=delta_s33-1000×[(delta_s34/1000+1)^0.515-1]",,,,,,,,,NAA,NEUTRON ACTIVATION ANALYSIS,,,,
,,,,,CARB,carbonate,,,,,,,,,NAA-PG,PROMPT-GAMMA NEUTRON ACTIVATION ANALYSIS,,,,
,,,,,CASU,calcium sulfate,,,,,,,,,NCC,NEUTRON COINCIDENCE COUNTING,,,,
,,,,,CATS,calcium tschermak molecule,,,,,,,,,NN,UNKNOWN,,,,
,,,,,CCR,calcium chromium clinopyroxene,,,,,,,,,NSFA-ID,NICKEL SULFIDE FIRE ASSAY ISOTOPE DILUTION,,,,
,,,,,Cd,cadmium,,,,,,,,,NTIMS,NEGATIVE THERMAL IONIZATION MASS SPECTROMETRY,,,,
,,,,,Cd_Ca,ratio of cadmium to calcium,,,,,,,,,NTIMS-ID,NEGATIVE THERMAL IONIZATION MASS SPECTROMETRY ISOTOPE DILUTION,,,,
