SAMPLE IDENTIFICATION,,,,,LOCATION,,,,,,,PETROGRAPHIC DESCRIPTION,,ARTEFACT IDENTIFICATION,,,,,ARCHAEOLOGICAL COLLECTION,,,,,SITE IDENTIFICATION,,,,,,,INDIVIDUAL SAMPLE CONDITION AND PREPARATION,,,,,METHOD CODE,PARAMETER,SiO2,TiO2,Al2O3,Fe2O3,FeO,FeOT,CaO,MgO,MnO,K2O,Na2O,P2O5,Li,Be,B,C,CO2,F,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143_Nd144,Nd143_Nd144 SD value,Nd143_Nd144 SD sigma,Sr87_Sr86,Sr87_Sr86 SD value,Sr87_Sr86 SD sigma,Pb206_Pb204,Pb206_Pb204 SD value,Pb206_Pb204 SD sigma,Pb207_Pb204,Pb207_Pb204 SD value,Pb207_Pb204 SD sigma,Pb208_Pb204,Pb208_Pb204 SD value,Pb208_Pb204 SD sigma,Pb207_Pb206,Pb207_Pb206 SD value,Pb207_Pb206 SD sigma,Pb208_Pb206,Pb208_Pb206 SD value,Pb208_Pb206 SD sigma,Age,Age SD sigma
Citation code 1 [Data],Sample name,Pofatu ID,Sample category,Sample comment,Location 1,Location 2,Location 3,Location comment,Latitude,Longitude,Elevation,Petrography,Comments,Citation code 2 [Artefact],Artefact name,Artefact category,Artefact description,Artefact comments,Collector,Fieldwork,Fieldwork date,Collection storage location,Collection comment,Citation 3 [Site],Site name,Site code,Site context,Site comments,Stratigraphic position,Stratigraphy comments,Analyzed material 1,Analyzed material 2,Sample preparation,Chemical treatment,Number of replicates,"[citation code][ _ ][A], [B], etc.",UNIT,%,%,%,%,%,%,%,%,%,%,%,%,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,,,,,,,,,,,,,,,,,,,,,,Ma,
must match TAB 1 COL I,,RESERVED TO ADMIN,see drop-down list,,Archipelago,Island name,Locality,,,,,,,must match TAB 1 COL L,,see drop-down list,see drop-down list,,,Survey OR Excavation,,,,must match TAB 1 COL O,,,see drop-down list,,"Level, Square, etc.",,see drop-down list,see drop-down list,"e.g. crushed in agate mill, sieved at 500 microns",e.g. whole rock samples were dissolved in 0.1M HF + 5.0M HNO3,,must match TAB 5 COL A,Comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1σ or 2σ,,,1σ or 2σ,,,1σ or 2σ,,,1σ or 2σ,,,1σ or 2σ,,,1σ or 2σ,,,1σ or 2σ,,2σ
Weisler-2016-PNAS,2009-545-b,Weisler-2016-PNAS_2009-545-b,SOURCE,,COOK,AITUTAKI,RAPOTA,,-18.929293,-159.758665,<10,,,Weisler-2016-PNAS,,GEOLOGICAL,NA,,P.V. Kirch,Survey,1989-1991,UC Berkeley (USA),,Kirch-2017-Tangatatau,RAPOTA,,NATURAL,,SURFACE,,Whole rock,Core sample,Unweathered chips (1–5 g) were powdered using an agate pestle and mortar,Digested with HF and HNO3,,Weisler-2016-PNAS_A,,,,,,,,,,,,,,10.8,3.12,,,,,,73874.0,,6046.0,,,,86795.0,19.9,16105.0,171.0,273.0,1451.0,93762.0,57.9,189.0,48.0,127.0,19.3,,,,,53.6,953.0,27.2,204.0,66.9,1.28,,,,,0.099,,,0.065,,,0.738,644.0,77.6,148.0,16.9,64.1,12.2,3.76,10.4,1.35,6.48,1.1,2.36,0.262,1.55,0.205,4.66,3.31,0.6,,,,,,,0.043,7.18,,12.1,2.42,,,,,,,,,,,,,,,,,,,,,,,
Weisler-2016-PNAS,2009-546-b,Weisler-2016-PNAS_2009-546-b,SOURCE,,COOK,AITUTAKI,RAPOTA,,-18.929293,-159.758665,<10,,,Weisler-2016-PNAS,,GEOLOGICAL,NA,,P.V. Kirch,Survey,1989-1991,UC Berkeley (USA),,Kirch-2017-Tangatatau,RAPOTA,,NATURAL,,SURFACE,,Whole rock,Core sample,Unweathered chips (1–5 g) were powdered using an agate pestle and mortar,Digested with HF and HNO3,,Weisler-2016-PNAS_A,,,,,,,,,,,,,,13.2,4.23,,,,,,61632.0,,5981.0,,,,88594.0,18.7,16343.0,174.0,251.0,1415.0,93341.0,54.2,165.0,59.2,132.0,20.5,,,,,64.1,1328.0,33.3,252.0,103.0,1.76,,,,,0.117,,,0.07,,,1.3,709.0,94.0,176.0,19.5,72.4,13.8,4.25,11.8,1.55,7.58,1.32,2.9,0.332,1.9,0.25,5.27,4.77,1.19,,,,,,,0.002,10.6,,18.1,3.48,,,,,,,,,,,,,,,,,,,,,,,
Weisler-2016-PNAS,2009-547-b,Weisler-2016-PNAS_2009-547-b,SOURCE,,COOK,AITUTAKI,MOTURAKAU,,-18.925732,-159.749644,<10,,,Weisler-2016-PNAS,,GEOLOGICAL,NA,,P.V. Kirch,Survey,1989-1991,UC Berkeley (USA),,Kirch-2017-Tangatatau,MOTURAKAU,,NATURAL,,SURFACE,,Whole rock,Core sample,Unweathered chips (1–5 g) were powdered using an agate pestle and mortar,Digested with HF and HNO3,,Weisler-2016-PNAS_A,,,,,,,,,,,,,,14.7,3.92,,,,,,70627.0,,5825.0,,,,90757.0,18.6,16195.0,171.0,250.0,1596.0,93066.0,57.2,189.0,48.0,133.0,19.7,,,,,57.1,1310.0,30.5,224.0,87.6,1.6,,,,,0.102,,,0.062,,,1.01,389.0,88.5,166.0,18.5,69.4,13.2,4.17,11.2,1.47,7.11,1.23,2.65,0.303,1.75,0.23,4.86,4.16,1.07,,,,,,,0.006,9.75,,15.0,3.33,,,,,,,,,,,,,,,,,,,,,,,
Weisler-2016-PNAS,2009-548-b,Weisler-2016-PNAS_2009-548-b,SOURCE,,COOK,AITUTAKI,MOTURAKAU,,-18.924345,-159.749665,<10,,,Weisler-2016-PNAS,,GEOLOGICAL,NA,,P.V. Kirch,Survey,1989-1991,UC Berkeley (USA),,Kirch-2017-Tangatatau,MOTURAKAU,,NATURAL,,SURFACE,,Whole rock,Core sample,Unweathered chips (1–5 g) were powdered using an agate pestle and mortar,Digested with HF and HNO3,,Weisler-2016-PNAS_A,,,,,,,,,,,,,,13.5,4.24,,,,,,72775.0,,5984.0,,,,90838.0,18.4,16327.0,174.0,253.0,1548.0,94336.0,56.5,181.0,41.3,134.0,20.3,,,,,46.9,1235.0,32.1,245.0,101.0,1.32,,,,,0.101,,,0.105,,,0.979,990.0,93.4,176.0,19.5,72.5,13.8,4.17,11.6,1.54,7.48,1.28,2.82,0.326,1.88,0.247,5.14,4.71,1.01,,,,,,,0.082,10.7,,17.4,3.3,,,,,,,,,,,,,,,,,,,,,,,
Weisler-2016-PNAS,2009-549-b,Weisler-2016-PNAS_2009-549-b,SOURCE,,COOK,AITUTAKI,MOTURAKAU,,-18.925732,-159.749644,<10,,,Weisler-2016-PNAS,,GEOLOGICAL,NA,,P.V. Kirch,Survey,1989-1991,UC Berkeley (USA),,Kirch-2017-Tangatatau,MOTURAKAU,,NATURAL,,SURFACE,,Whole rock,Core sample,Unweathered chips (1–5 g) were powdered using an agate pestle and mortar,Digested with HF and HNO3,,Weisler-2016-PNAS_A,,,,,,,,,,,,,,15.1,4.0,,,,,,76605.0,,5615.0,,,,88322.0,18.3,16155.0,171.0,261.0,1543.0,95116.0,59.3,215.0,50.2,132.0,19.4,,,,,48.8,1296.0,30.4,231.0,95.1,1.26,,,,,0.101,,,0.065,,,0.977,365.0,86.7,164.0,18.3,68.2,13.0,4.12,11.1,1.46,7.09,1.22,2.65,0.302,1.77,0.229,4.97,4.45,0.942,,,,,,,0.005,11.1,,16.1,3.19,,,,,,,,,,,,,,,,,,,,,,,
Weisler-2016-PNAS,2009-550-b,Weisler-2016-PNAS_2009-550-b,SOURCE,,COOK,AITUTAKI,MOTURAKAU,,-18.926014,-159.750624,<10,,,Weisler-2016-PNAS,,GEOLOGICAL,NA,,P.V. Kirch,Survey,1989-1991,UC Berkeley (USA),,Kirch-2017-Tangatatau,MOTURAKAU,,NATURAL,,SURFACE,,Whole rock,Core sample,Unweathered chips (1–5 g) were powdered using an agate pestle and mortar,Digested with HF and HNO3,,Weisler-2016-PNAS_A,,,,,,,,,,,,,,13.9,4.35,,,,,,69666.0,,6133.0,,,,92318.0,17.6,16471.0,176.0,240.0,1516.0,94308.0,55.1,168.0,45.6,138.0,19.0,,,,,41.9,1289.0,32.0,231.0,94.6,0.825,,,,,0.097,,,0.096,,,0.958,1361.0,97.8,183.0,20.1,74.5,14.0,4.12,11.8,1.56,7.53,1.28,2.79,0.319,1.84,0.236,4.89,4.48,0.559,,,,,,,0.074,10.3,,16.5,3.28,,,,,,,,,,,,,,,,,,,,,,,
Weisler-2016-PNAS,2009-551-b,Weisler-2016-PNAS_2009-551-b,SOURCE,,COOK,AITUTAKI,MOTURAKAU,,-18.926014,-159.750624,<10,,,Weisler-2016-PNAS,,GEOLOGICAL,NA,,P.V. Kirch,Survey,1989-1991,UC Berkeley (USA),,Kirch-2017-Tangatatau,MOTURAKAU,,NATURAL,,SURFACE,,Whole rock,Core sample,Unweathered chips (1–5 g) were powdered using an agate pestle and mortar,Digested with HF and HNO3,,Weisler-2016-PNAS_A,,,,,,,,,,,,,,15.9,4.33,,,,,,74685.0,,5982.0,,,,87000.0,18.2,15986.0,170.0,247.0,1561.0,95257.0,58.4,191.0,52.8,133.0,20.4,,,,,60.8,983.0,32.0,244.0,103.0,1.35,,,,,0.097,,,0.078,,,1.44,566.0,92.2,174.0,19.2,71.1,13.5,4.22,11.5,1.52,7.43,1.28,2.81,0.321,1.88,0.245,5.09,4.71,0.886,,,,,,,0.013,11.0,,17.6,3.47,,,,,,,,,,,,,,,,,,,,,,,
Weisler-2016-PNAS,2009-552-b,Weisler-2016-PNAS_2009-552-b,SOURCE,,COOK,AITUTAKI,RAPOTA,,-18.929293,-159.758665,<10,,,Weisler-2016-PNAS,,GEOLOGICAL,NA,,P.V. Kirch,Survey,1989-1991,UC Berkeley (USA),,Kirch-2017-Tangatatau,RAPOTA,,NATURAL,,SURFACE,,Whole rock,Core sample,Unweathered chips (1–5 g) were powdered using an agate pestle and mortar,Digested with HF and HNO3,,Weisler-2016-PNAS_A,,,,,,,,,,,,,,13.3,3.94,,,,,,67830.0,,5985.0,,,,93425.0,18.5,16254.0,182.0,251.0,1499.0,924.0,54.5,166.0,39.8,128.0,19.7,,,,,53.7,1451.0,31.0,239.0,93.5,2.77,,,,,0.167,,,0.107,,,1.19,1046.0,89.9,169.0,18.8,69.9,13.4,4.0,11.3,1.48,7.21,1.24,2.7,0.308,1.81,0.235,5.05,4.29,1.55,,,,,,,0.014,15.7,,15.9,3.34,,,,,,,,,,,,,,,,,,,,,,,
Weisler-2016-PNAS,2009-553-b,Weisler-2016-PNAS_2009-553-b,SOURCE,,COOK,AITUTAKI,RAPOTA,,-18.929293,-159.758665,<10,,,Weisler-2016-PNAS,,GEOLOGICAL,NA,,P.V. Kirch,Survey,1989-1991,UC Berkeley (USA),,Kirch-2017-Tangatatau,RAPOTA,,NATURAL,,SURFACE,,Whole rock,Core sample,Unweathered chips (1–5 g) were powdered using an agate pestle and mortar,Digested with HF and HNO3,,Weisler-2016-PNAS_A,,,,,,,,,,,,,,14.6,3.72,,,,,,77912.0,,5782.0,,,,90994.0,17.9,15708.0,169.0,255.0,1537.0,94051.0,59.9,220.0,44.7,127.0,18.9,,,,,44.1,1495.0,29.6,224.0,82.6,1.7,,,,,0.118,,,0.077,,,0.786,926.0,84.8,161.0,17.8,66.8,12.7,3.82,10.8,1.41,6.9,1.18,2.58,0.296,1.73,0.226,4.79,3.9,0.842,,,,,,,0.004,9.5,,14.5,2.87,,,,,,,,,,,,,,,,,,,,,,,
Weisler-2016-PNAS,2009-554-b,Weisler-2016-PNAS_2009-554-b,SOURCE,,COOK,AITUTAKI,VAIPAE,,-18.841539,-159.771287,<10,,,Weisler-2016-PNAS,,GEOLOGICAL,NA,,P.V. Kirch,Survey,1989-1991,UC Berkeley (USA),,Kirch-2017-Tangatatau,VAIPAE,,NATURAL,,SURFACE,,Whole rock,Core sample,Unweathered chips (1–5 g) were powdered using an agate pestle and mortar,Digested with HF and HNO3,,Weisler-2016-PNAS_A,,,,,,,,,,,,,,11.1,3.4,,,,,,60832.0,,5739.0,,,,9253.0,21.2,15243.0,201.0,321.0,153.0,92381.0,58.9,200.0,45.7,128.0,19.6,,,,,17.9,1391.0,31.8,199.0,93.5,3.95,,,,,0.088,,,0.084,,,1.91,1010.0,101.0,186.0,19.9,72.4,13.2,3.91,11.2,1.48,7.27,1.28,2.83,0.33,1.94,0.255,4.51,4.27,2.81,,,,,,,0.024,9.13,,19.1,3.29,,,,,,,,,,,,,,,,,,,,,,,
Weisler-2016-PNAS,2009-555-b,Weisler-2016-PNAS_2009-555-b,SOURCE,,COOK,AITUTAKI,VAIPAE,,-18.841539,-159.771287,<10,,,Weisler-2016-PNAS,,GEOLOGICAL,NA,,P.V. Kirch,Survey,1989-1991,UC Berkeley (USA),,Kirch-2017-Tangatatau,VAIPAE,,NATURAL,,SURFACE,,Whole rock,Core sample,Unweathered chips (1–5 g) were powdered using an agate pestle and mortar,Digested with HF and HNO3,,Weisler-2016-PNAS_A,,,,,,,,,,,,,,13.9,3.71,,,,,,59649.0,,5716.0,,,,88992.0,21.8,15510.0,200.0,333.0,1389.0,9703.0,53.7,199.0,48.3,130.0,19.4,,,,,24.1,1237.0,32.5,201.0,95.2,3.25,,,,,0.105,,,0.109,,,2.77,842.0,102.0,187.0,20.2,73.2,13.4,4.05,11.4,1.5,7.43,1.3,2.93,0.336,1.98,0.264,4.58,4.26,1.69,,,,,,,0.029,10.6,,19.4,3.4,,,,,,,,,,,,,,,,,,,,,,,
Weisler-2016-PNAS,2009-556-b,Weisler-2016-PNAS_2009-556-b,SOURCE,,COOK,AITUTAKI,VAIPAE,,-18.841539,-159.771287,<10,,,Weisler-2016-PNAS,,GEOLOGICAL,NA,,P.V. Kirch,Survey,1989-1991,UC Berkeley (USA),,Kirch-2017-Tangatatau,VAIPAE,,NATURAL,,SURFACE,,Whole rock,Core sample,Unweathered chips (1–5 g) were powdered using an agate pestle and mortar,Digested with HF and HNO3,,Weisler-2016-PNAS_A,,,,,,,,,,,,,,13.1,3.49,,,,,,63242.0,,5827.0,,,,86234.0,21.1,15279.0,192.0,324.0,1549.0,98413.0,61.3,195.0,62.0,129.0,19.6,,,,,38.8,1294.0,32.4,197.0,95.2,5.58,,,,,0.085,,,0.079,,,2.62,1108.0,105.0,192.0,20.6,74.3,13.6,3.97,11.4,1.52,7.47,1.3,2.9,0.338,1.99,0.262,4.49,4.28,3.12,,,,,,,0.016,7.2,,19.6,3.5,,,,,,,,,,,,,,,,,,,,,,,
Weisler-2016-PNAS,2009-557-b,Weisler-2016-PNAS_2009-557-b,SOURCE,,COOK,AITUTAKI,AITUTAKI,,-18.847713,-159.794608,20.0,,,Weisler-2016-PNAS,,GEOLOGICAL,NA,,P.V. Kirch,Survey,1989-1991,UC Berkeley (USA),,Kirch-2017-Tangatatau,NA,,NATURAL,,SURFACE,,Whole rock,Core sample,Unweathered chips (1–5 g) were powdered using an agate pestle and mortar,Digested with HF and HNO3,,Weisler-2016-PNAS_A,,,,,,,,,,,,,,18.1,4.19,,,,,,71425.0,,6955.0,,,,87371.0,18.9,16244.0,190.0,247.0,1678.0,100416.0,61.7,185.0,48.3,143.0,15.4,,,,,90.0,1498.0,35.8,229.0,119.0,2.13,,,,,0.107,,,0.111,,,1.61,1419.0,134.0,244.0,25.9,92.5,16.4,4.72,13.4,1.76,8.48,1.44,3.12,0.343,1.97,0.257,5.07,5.2,1.2,,,,,,,0.015,13.3,,26.8,4.74,,,,,,,,,,,,,,,,,,,,,,,
Weisler-2016-PNAS,2009-360,Weisler-2016-PNAS_2009-360,ARTEFACT,,COOK,MANGAIA,TANGATATAU,SEPARATE TEST PIT,-21.946136,-157.936664,50.0,,,Kirch-2017-Tangatatau; Weisler-2016-PNAS,M44-A25-4-3,FLAKE (ADZE KNAPPING),NA,"Highly polished, broken flake",P.V. Kirch,Excavation,1989-1991,UC Berkeley (USA),,Kirch-2017-Tangatatau,TANGATATAU,MAN-44,ROCKSHELTER,,SEPARATE TEST PIT-LEVEL4(A25),,Whole rock,Core sample,Unweathered chips (1–5 g) were powdered using an agate pestle and mortar,Digested with HF and HNO3,,Weisler-2016-PNAS_A,,,,,,,,,,,,,,8.15,2.77,,,,,28.491,33150.0,,2608.0,,,9987.0,82712.0,21.7,22421.0,355.0,9.95,1625.0,103226.0,46.3,67.6,73.9,124.0,23.6,,,,,27.2,694.0,30.4,290.0,75.9,2.85,,,,,1.37,,,0.096,,,0.248,333.0,50.9,108.0,13.0,51.5,10.1,3.13,8.92,1.26,6.71,1.25,3.07,0.401,2.42,0.337,6.48,4.67,0.711,,,,,,,0.033,3.22,,5.63,1.69,,,,,,,,,,,,,,,,,,,,,,,
Weisler-2016-PNAS,2009-361,Weisler-2016-PNAS_2009-361,ARTEFACT,,COOK,MANGAIA,TANGATATAU,ZONE 8,-21.946136,-157.936664,50.0,,,Kirch-2017-Tangatatau; Weisler-2016-PNAS,M44-C31-2-2,FLAKE (ADZE KNAPPING),NA,"Complete flake, polish on dorsal face, highly polished",P.V. Kirch,Excavation,1989-1991,UC Berkeley (USA),,Kirch-2017-Tangatatau,TANGATATAU,MAN-44,ROCKSHELTER,,ZONE 8-LEVEL2(C31),,Whole rock,Core sample,Unweathered chips (1–5 g) were powdered using an agate pestle and mortar,Digested with HF and HNO3,,Weisler-2016-PNAS_A,,,,,,,,,,,,,,5.98,2.39,,,,,28.667,35502.0,,1842.0,,,9867.0,90924.0,26.4,19124.0,359.0,38.6,1401.0,98151.0,51.7,104.0,95.9,109.0,20.9,,,,,22.6,557.0,25.5,177.0,47.3,1.72,,,,,0.95,,,0.06,,,0.19,274.0,31.0,66.5,8.44,34.9,7.57,2.41,7.13,1.04,5.61,1.06,2.61,0.342,2.05,0.284,4.55,2.89,0.374,,,,,,,0.021,2.81,,3.11,0.924,,,,,,,,,,,,,,,,,,,,,,,
Weisler-2016-PNAS,2009-362,Weisler-2016-PNAS_2009-362,ARTEFACT,,COOK,MANGAIA,TANGATATAU,ZONE 8,-21.946136,-157.936664,50.0,,,Kirch-2017-Tangatatau; Weisler-2016-PNAS,M44-C31-2-4,FLAKE (ADZE KNAPPING),NA,"Flake fragment, rounded surface",P.V. Kirch,Excavation,1989-1991,UC Berkeley (USA),,Kirch-2017-Tangatatau,TANGATATAU,MAN-44,ROCKSHELTER,,ZONE 8-LEVEL2(C31),,Whole rock,Core sample,Unweathered chips (1–5 g) were powdered using an agate pestle and mortar,Digested with HF and HNO3,,Weisler-2016-PNAS_A,,,,,,,,,,,,,,6.28,1.82,,,,,20.798,37154.0,,1927.0,,,8498.0,87976.0,33.3,21655.0,351.0,105.0,1462.0,101374.0,49.5,73.7,133.0,107.0,21.1,,,,,17.7,522.0,26.8,191.0,49.0,1.3,,,,,0.99,,,0.048,,,0.114,223.0,31.9,69.6,8.91,37.0,8.14,2.59,7.62,1.1,5.95,1.11,2.74,0.354,2.12,0.291,4.97,3.01,0.25,,,,,,,0.02,1.97,,3.24,0.945,,,,,,,,,,,,,,,,,,,,,,,
Weisler-2016-PNAS,2009-363,Weisler-2016-PNAS_2009-363,ARTEFACT,,COOK,MANGAIA,TANGATATAU,ZONE 3,-21.946136,-157.936664,50.0,,,Kirch-2017-Tangatatau; Weisler-2016-PNAS,M44-C31-8-1,ADZE,FRAGMENT,Edge of adze (back or front face incorporating a side),P.V. Kirch,Excavation,1989-1991,UC Berkeley (USA),,Kirch-2017-Tangatatau,TANGATATAU,MAN-44,ROCKSHELTER,,ZONE 3-LEVEL8(C31),,Whole rock,Core sample,Unweathered chips (1–5 g) were powdered using an agate pestle and mortar,Digested with HF and HNO3,,Weisler-2016-PNAS_A,,,,,,,,,,,,,,8.35,3.99,,,,,40.604,26903.0,,4721.0,,,14441.0,49976.0,10.5,18865.0,118.0,4.27,1675.0,99927.0,30.5,19.0,20.9,136.0,22.6,,,,,37.7,1193.0,36.9,489.0,107.0,3.92,,,,,1.77,,,0.111,,,0.39,430.0,78.8,169.0,19.2,73.2,13.6,4.16,11.3,1.56,8.11,1.5,3.65,0.48,2.98,0.419,9.26,6.35,1.24,,,,,,,0.03,4.33,,8.96,2.57,,,,,,,,,,,,,,,,,,,,,,,
Weisler-2016-PNAS,2009-364,Weisler-2016-PNAS_2009-364,ARTEFACT,,COOK,MANGAIA,TANGATATAU,ZONE 2,-21.946136,-157.936664,50.0,,,Kirch-2017-Tangatatau; Weisler-2016-PNAS,M44-C32-3-3,ADZE,FRAGMENT,"Complete width of side, back or front of adze",P.V. Kirch,Excavation,1989-1991,UC Berkeley (USA),,Kirch-2017-Tangatatau,TANGATATAU,MAN-44,ROCKSHELTER,,ZONE 2-LEVEL3(C32),,Whole rock,Core sample,Unweathered chips (1–5 g) were powdered using an agate pestle and mortar,Digested with HF and HNO3,,Weisler-2016-PNAS_A,,,,,,,,,,,,,,11.3,3.01,,,,,35.117,33007.0,,3616.0,,,11594.0,52157.0,14.1,22748.0,151.0,3.11,1690.0,108157.0,38.3,41.7,18.4,123.0,21.1,,,,,27.7,1023.0,34.4,357.0,85.2,2.87,,,,,2.57,,,0.082,,,0.289,361.0,60.0,128.0,15.5,60.7,11.9,3.74,10.2,1.44,7.55,1.41,3.44,0.451,2.78,0.392,7.72,5.22,0.805,,,,,,,0.02,3.13,,6.29,1.79,,,,,,,,,,,,,,,,,,,,,,,
Weisler-2016-PNAS,2009-365,Weisler-2016-PNAS_2009-365,ARTEFACT,,COOK,MANGAIA,TANGATATAU,ZONE 4B,-21.946136,-157.936664,50.0,,,Kirch-2017-Tangatatau; Weisler-2016-PNAS,M44-D31-13-1,FLAKE (ADZE KNAPPING),NA,"Complete flake, polish on dorsal face, 3 potlid fractures",P.V. Kirch,Excavation,1989-1991,UC Berkeley (USA),,Kirch-2017-Tangatatau,TANGATATAU,MAN-44,ROCKSHELTER,,ZONE 4B-LEVEL13(D31),,Whole rock,Core sample,Unweathered chips (1–5 g) were powdered using an agate pestle and mortar,Digested with HF and HNO3,,Weisler-2016-PNAS_A,,,,,,,,,,,,,,11.4,3.36,,,,,33.755,36113.0,,5401.0,,,15692.0,55864.0,14.7,26796.0,207.0,9.64,1737.0,117413.0,47.8,62.5,55.8,142.0,23.6,,,,,43.8,1065.0,35.8,466.0,106.0,3.31,,,,,1.82,,,0.092,,,0.5,385.0,71.0,158.0,18.3,71.2,13.5,4.08,11.2,1.54,7.91,1.45,3.47,0.449,2.71,0.378,8.8,6.62,0.833,,,,,,,0.057,3.63,,7.12,2.17,,,,,,,,,,,,,,,,,,,,,,,
Weisler-2016-PNAS,2009-366,Weisler-2016-PNAS_2009-366,ARTEFACT,,COOK,MANGAIA,TANGATATAU,ZONE 8,-21.946136,-157.936664,50.0,,,Kirch-2017-Tangatatau; Weisler-2016-PNAS,M44-D31-5-4,FLAKE (ADZE KNAPPING),NA,"Complete flake, highly polished on dorsal face",P.V. Kirch,Excavation,1989-1991,UC Berkeley (USA),,Kirch-2017-Tangatatau,TANGATATAU,MAN-44,ROCKSHELTER,,ZONE 8-LEVEL5(D31),,Whole rock,Core sample,Unweathered chips (1–5 g) were powdered using an agate pestle and mortar,Digested with HF and HNO3,,Weisler-2016-PNAS_A,,,,,,,,,,,,,,7.48,2.66,,,,,24.68,34002.0,,2595.0,,,11458.0,82144.0,25.0,22741.0,355.0,29.0,1356.0,100052.0,47.8,85.1,93.1,113.0,22.9,,,,,31.1,639.0,28.6,255.0,70.8,2.9,,,,,1.17,,,0.084,,,0.368,308.0,47.4,99.9,12.2,48.3,9.6,2.96,8.47,1.19,6.38,1.2,2.89,0.38,2.28,0.313,6.14,4.51,0.361,,,,,,,0.027,2.92,,5.36,1.66,,,,,,,,,,,,,,,,,,,,,,,
Weisler-2016-PNAS,2009-367,Weisler-2016-PNAS_2009-367,ARTEFACT,,COOK,MANGAIA,TANGATATAU,"FEATURE 32, BETWEEN ZONES 5-8",-21.946136,-157.936664,50.0,,,Kirch-2017-Tangatatau; Weisler-2016-PNAS,M44-D31-7-1,FLAKE (ADZE KNAPPING),NA,"Complete expanding flake, polish on dorsal face",P.V. Kirch,Excavation,1989-1991,UC Berkeley (USA),,Kirch-2017-Tangatatau,TANGATATAU,MAN-44,ROCKSHELTER,,"FEATURE 32, BETWEEN ZONES 5-8-LEVEL7(D31)",,Whole rock,Core sample,Unweathered chips (1–5 g) were powdered using an agate pestle and mortar,Digested with HF and HNO3,,Weisler-2016-PNAS_A,,,,,,,,,,,,,,6.08,2.31,,,,,22.463,2936.0,,2299.0,,,11374.0,91153.0,26.2,1968.0,379.0,39.4,1531.0,96234.0,50.1,137.0,271.0,183.0,20.7,,,,,24.7,544.0,25.1,174.0,46.2,8.01,,,,,1.1,,,0.139,,,0.204,307.0,29.3,63.3,8.12,33.7,7.34,2.38,6.86,1.01,5.46,1.04,2.52,0.335,2.0,0.274,4.48,2.87,0.359,,,,,,,0.048,9.7,,2.98,0.827,,,,,,,,,,,,,,,,,,,,,,,
Weisler-2016-PNAS,2009-368,Weisler-2016-PNAS_2009-368,ARTEFACT,,COOK,MANGAIA,TANGATATAU,ZONE 5,-21.946136,-157.936664,50.0,,,Kirch-2017-Tangatatau; Weisler-2016-PNAS,M44-D31-8-3,FLAKE (ADZE KNAPPING),NA,"Complete flake, polish on dorsal face",P.V. Kirch,Excavation,1989-1991,UC Berkeley (USA),,Kirch-2017-Tangatatau,TANGATATAU,MAN-44,ROCKSHELTER,,ZONE 5-LEVEL8(D31),,Whole rock,Core sample,Unweathered chips (1–5 g) were powdered using an agate pestle and mortar,Digested with HF and HNO3,,Weisler-2016-PNAS_A,,,,,,,,,,,,,,9.16,2.79,,,,,25.313,34594.0,,2389.0,,,909.0,82809.0,20.5,20111.0,331.0,7.74,1561.0,10003.0,48.6,65.6,182.0,105.0,22.7,,,,,22.9,619.0,27.5,228.0,60.5,2.49,,,,,1.06,,,0.077,,,0.201,300.0,41.1,86.2,10.6,42.4,8.6,2.69,7.73,1.11,6.0,1.15,2.81,0.371,2.27,0.31,5.37,3.84,0.348,,,,,,,0.024,3.09,,4.51,1.37,,,,,,,,,,,,,,,,,,,,,,,
